bin,n,k,obs,pred,lo,hi,model
B1,1554,2,0.001287001287001287,0.09058340616540668,0.00035300576377187125,0.00468062538332293,Logistic
B10,1270,66,0.05196850393700787,0.8450864980185482,0.041055671468048435,0.06558364695270341,Logistic
B2,1135,0,0.0,0.11797902876919096,0.0,0.003373252259137706,Logistic
B3,1139,3,0.0026338893766461808,0.13408593364480767,0.0008961393541105822,0.007715377762522204,Logistic
B4,1270,0,0.0,0.1468713371699825,0.0,0.003015759573246783,Logistic
B5,1444,4,0.002770083102493075,0.20443406943523165,0.0010777249188238629,0.007101070330601214,Logistic
B6,1161,2,0.0017226528854435831,0.276795146441918,0.00047253084777682756,0.006259371584279171,Logistic
B7,1235,5,0.004048582995951417,0.3173666708874654,0.0017304893981461619,0.009442529008726839,Logistic
B8,1239,10,0.008071025020177562,0.40276013400336014,0.004389829369188102,0.014793307081989584,Logistic
B9,1275,21,0.01647058823529412,0.6166662177411127,0.010797648792182202,0.025048542010494224,Logistic
